id;name;acronym;state
13866,67207;FACULDADE DE QUATRO MARCOS;FQM;MT
13870,54653;FACULDADE DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE;FACISA;MG
13874,42099;FACULDADE DE ARAÇATUBA;;SP
13878,29545;FACULDADE ENTRE RIOS DO PIAUÍ;FAERPI;PI
13882,16991;FACULDADE DE CIÊNCIAS DA BAHIA - FACIBA;FACIBA;BA
13886,04437;ESCOLA SUPERIOR DE CIÊNCIAS DA SAÚDE;ESCS;DF
13889,91883;FACULDADE DE FARMÁCIA E BIOQUÍMICA;ITPAC;TO
13893,79328;FACULDADE DE ENFERMAGEM;ITPAC;TO
13897,66774;FACULDADE DE MEDICINA;ITPAC;TO
13901,5422;FACULDADE DE SISTEMA DE INFORMAÇÃO;ITPAC;TO
13905,41666;FACULDADE DE ADMINISTRAÇÃO;ITPAC;TO
13909,29112;FACULDADE LUIZ EDUARDO MAGALHÃES;FILEM;BA
13913,16558;FACULDADE IGUAÇU;FI;PR
13917,04004;FACULDADE DE ODONTOLOGIA;ITPAC;TO
13920,9145;FACULDADE QUIRINÓPOLIS;FAQUI;GO
13924,78895;FACULDADE MADRE THAIS;FMT;BA
13928,66341;FACULDADE SÃO BENTO DA BAHIA;;BA
13932,53787;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUDESTE DE MINAS GERAIS;IFSEMG;MG
13936,41233;FACULDADE SANTO ANTONIO;FSA;BA
13940,28679;FACULDADE DE TECNOLOGIA ENIAC-FAPI;ENIAC;SP
13944,16125;FACULDADE DE TECNOLOGIA SENAC FLORIANÓPOLIS;SENAC FLORIANÓPOLIS;SC
13948,03571;FACULDADE DE TECNOLOGIA INFORMÁTICA;FATI;CE
13951,91017;INSTITUTO SUPERIOR DE EDUCAÇÃO DE JUNQUEIRÓPOLIS;ISEJ;SP
13955,78462;FACULDADES INTEGRADAS MATO-GROSSENSES DE CIÊNCIAS SOCIAIS E HUMANAS;ICE;MT
13959,65908;FACULDADES INTEGRADAS DE PATOS;FIP;PB
13963,53354;FACULDADE DE TECNOLOGIA IPUC;FATIPUC;RS
13967,408;FACULDADE INED DE RIO CLARO;CBTA;SP
13971,28246;FACULDADE DE TECNOLOGIA TERMOMECÂNICA;FTT;SP
13975,15692;FACULDADE DE TECNOLOGIA INTERNACIONAL;FATEC INTERNACIONAL;PR
13979,03138;FACULDADE DE TECNOLOGIA SÃO FRANCISCO;FATESF;ES
13982,90584;FACULDADE DE ENSINO SUPERIOR DE CATALÃO;FACULDADE CESUC;GO
13986,7803;INSTITUTO DE EDUCAÇÃO E ENSINO SUPERIOR DE CAMPINAS;IESCAMP;SP
13990,65475;FACULDADE DE TECNOLOGIA SENAC RIO;FATEC;RJ
13994,52921;FACULDADE DE TECNOLOGIA TECBRASIL;Ftec Caxias do Sul;RS
13998,40367;UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL;UERGS;RS
14002,27813;FACULDADE DE TECNOLOGIA DE TERESINA;FACULDADE CET;PI
14006,15259;FACULDADE DE GETÚLIO VARGAS;FACULDADE IDEAU;RS
14010,02705;INSTITUTO DE EDUCAÇÃO SUPERIOR PRESIDENTE KENNEDY - CENTRO DE FORMAÇÃO DE PROFISSIONAIS DE EDUCAÇÃO;IFESP;RN
14013,90151;FACULDADE GUARAÍ;FAG;TO
14017,77597;FACULDADE SÃO FRANCISCO DE JUAZEIRO;FASJ;BA
14021,65042;INSTITUTO SUPERIOR DE EDUCAÇÃO DE OLIVEIRA;ISEOL;MG
14025,52488;CENTRO UNIVERSITÁRIO DO SUL DE MINAS;UNIS-MG;MG
14029,39934;CENTRO UNIVERSITÁRIO DE PATOS DE MINAS;UNIPAM;MG
14033,2738;CENTRO UNIVERSITÁRIO DE LAVRAS;UNILAVRAS;MG
14037,14826;INSTITUTO DE ENSINO SUPERIOR MÚLTIPLO;IESM;MA
14041,02272;FACULDADE DE TEOLOGIA INTEGRADA;FATIN;PE
14044,89718;FACULDADE MONTESSORIANO DE SALVADOR;FAMA;BA
14048,77164;FACULDADE MISSIONEIRA DO PARANÁ;FAMIPAR;PR
14052,64609;FACULDADE PARAÍSO DO CEARÁ;FAP;CE
14056,52055;FACULDADE RAÍZES;SER;GO
14060,39501;FACULDADE DA ACADEMIA BRASILEIRA DE EDUCAÇÃO E CULTURA;FABEC;RJ
14064,26947;FACULDADE DE ENSINO SUPERIOR DOM BOSCO;FACDOMBOSCO;PR
14068,14393;FACULDADE LS;FACELS;DF
14072,01839;FACULDADE BOAS NOVAS DE CIÊNCIAS TEOLÓGICAS, SOCIAIS E BIOTECNOLÓGICAS;FBNCTSB;AM
14075,89285;FACULDADE DE SAÚDE DE SÃO PAULO;FASSP;SP
14079,76731;FACULDADE EÇA DE QUEIROS;FACEQ;SP
14083,64176;FACULDADE JOSÉ AUGUSTO VIEIRA;FJAV;SE
14087,51622;FACULDADE ALFA;FA;SP
